"Date","WM2NS"
2022-02-07,21560.8
2022-02-08,21560.8
2022-02-09,21560.8
2022-02-10,21560.8
2022-02-11,21560.8
2022-02-12,21560.8
2022-02-13,21560.8
2022-02-14,21571.5
2022-02-15,21571.5
2022-02-16,21571.5
2022-02-17,21571.5
2022-02-18,21571.5
2022-02-19,21571.5
2022-02-20,21571.5
2022-02-21,21574.7
2022-02-22,21574.7
2022-02-23,21574.7
2022-02-24,21574.7
2022-02-25,21574.7
2022-02-26,21574.7
2022-02-27,21574.7
2022-02-28,21658.8
2022-03-01,21658.8
2022-03-02,21658.8
2022-03-03,21658.8
2022-03-04,21658.8
2022-03-05,21658.8
2022-03-06,21658.8
2022-03-07,21812
2022-03-08,21812
2022-03-09,21812
2022-03-10,21812
2022-03-11,21812
2022-03-12,21812
2022-03-13,21812
2022-03-14,21862.8
2022-03-15,21862.8
2022-03-16,21862.8
2022-03-17,21862.8
2022-03-18,21862.8
2022-03-19,21862.8
2022-03-20,21862.8
2022-03-21,21866.8
2022-03-22,21866.8
2022-03-23,21866.8
2022-03-24,21866.8
2022-03-25,21866.8
2022-03-26,21866.8
2022-03-27,21866.8
2022-03-28,21853.9
2022-03-29,21853.9
2022-03-30,21853.9
2022-03-31,21853.9
2022-04-01,21853.9
2022-04-02,21853.9
2022-04-03,21853.9
2022-04-04,21996.9
2022-04-05,21996.9
2022-04-06,21996.9
2022-04-07,21996.9
2022-04-08,21996.9
2022-04-09,21996.9
2022-04-10,21996.9
2022-04-11,21983
2022-04-12,21983
2022-04-13,21983
2022-04-14,21983
2022-04-15,21983
2022-04-16,21983
2022-04-17,21983
2022-04-18,22056
2022-04-19,22056
2022-04-20,22056
2022-04-21,22056
2022-04-22,22056
2022-04-23,22056
2022-04-24,22056
2022-04-25,21608.3
2022-04-26,21608.3
2022-04-27,21608.3
2022-04-28,21608.3
2022-04-29,21608.3
2022-04-30,21608.3
2022-05-01,21608.3
2022-05-02,21614.5
2022-05-03,21614.5
2022-05-04,21614.5
2022-05-05,21614.5
2022-05-06,21614.5
2022-05-07,21614.5
2022-05-08,21614.5
2022-05-09,21551.5
2022-05-10,21551.5
2022-05-11,21551.5
2022-05-12,21551.5
2022-05-13,21551.5
2022-05-14,21551.5
2022-05-15,21551.5
2022-05-16,21583.6
2022-05-17,21583.6
2022-05-18,21583.6
2022-05-19,21583.6
2022-05-20,21583.6
2022-05-21,21583.6
2022-05-22,21583.6
2022-05-23,21538.8
2022-05-24,21538.8
2022-05-25,21538.8
2022-05-26,21538.8
2022-05-27,21538.8
2022-05-28,21538.8
2022-05-29,21538.8
2022-05-30,21524.7
2022-05-31,21524.7
2022-06-01,21524.7
2022-06-02,21524.7
2022-06-03,21524.7
2022-06-04,21524.7
2022-06-05,21524.7
2022-06-06,21623.5
2022-06-07,21623.5
2022-06-08,21623.5
2022-06-09,21623.5
2022-06-10,21623.5
2022-06-11,21623.5
2022-06-12,21623.5
2022-06-13,21598.5
2022-06-14,21598.5
2022-06-15,21598.5
2022-06-16,21598.5
2022-06-17,21598.5
2022-06-18,21598.5
2022-06-19,21598.5
2022-06-20,21555.4
2022-06-21,21555.4
2022-06-22,21555.4
2022-06-23,21555.4
2022-06-24,21555.4
2022-06-25,21555.4
2022-06-26,21555.4
2022-06-27,21529.6
2022-06-28,21529.6
2022-06-29,21529.6
2022-06-30,21529.6
2022-07-01,21529.6
2022-07-02,21529.6
2022-07-03,21529.6
2022-07-04,21626.1
2022-07-05,21626.1
2022-07-06,21626.1
2022-07-07,21626.1
2022-07-08,21626.1
2022-07-09,21626.1
2022-07-10,21626.1
2022-07-11,21591.7
2022-07-12,21591.7
2022-07-13,21591.7
2022-07-14,21591.7
2022-07-15,21591.7
2022-07-16,21591.7
2022-07-17,21591.7
2022-07-18,21569.1
2022-07-19,21569.1
2022-07-20,21569.1
2022-07-21,21569.1
2022-07-22,21569.1
2022-07-23,21569.1
2022-07-24,21569.1
2022-07-25,21521.8
2022-07-26,21521.8
2022-07-27,21521.8
2022-07-28,21521.8
2022-07-29,21521.8
2022-07-30,21521.8
2022-07-31,21521.8
2022-08-01,21591.1
2022-08-02,21591.1
2022-08-03,21591.1
2022-08-04,21591.1
2022-08-05,21591.1
2022-08-06,21591.1
2022-08-07,21591.1
2022-08-08,21583.3
2022-08-09,21583.3
2022-08-10,21583.3
2022-08-11,21583.3
2022-08-12,21583.3
2022-08-13,21583.3
2022-08-14,21583.3
2022-08-15,21591.6
2022-08-16,21591.6
2022-08-17,21591.6
2022-08-18,21591.6
2022-08-19,21591.6
2022-08-20,21591.6
2022-08-21,21591.6
2022-08-22,21537.3
2022-08-23,21537.3
2022-08-24,21537.3
2022-08-25,21537.3
2022-08-26,21537.3
2022-08-27,21537.3
2022-08-28,21537.3
2022-08-29,21470.8
2022-08-30,21470.8
2022-08-31,21470.8
2022-09-01,21470.8
2022-09-02,21470.8
2022-09-03,21470.8
2022-09-04,21470.8
2022-09-05,21539.4
2022-09-06,21539.4
2022-09-07,21539.4
2022-09-08,21539.4
2022-09-09,21539.4
2022-09-10,21539.4
2022-09-11,21539.4
2022-09-12,21535.6
2022-09-13,21535.6
2022-09-14,21535.6
2022-09-15,21535.6
2022-09-16,21535.6
2022-09-17,21535.6
2022-09-18,21535.6
2022-09-19,21479.3
2022-09-20,21479.3
2022-09-21,21479.3
2022-09-22,21479.3
2022-09-23,21479.3
2022-09-24,21479.3
2022-09-25,21479.3
2022-09-26,21357.2
2022-09-27,21357.2
2022-09-28,21357.2
2022-09-29,21357.2
2022-09-30,21357.2
2022-10-01,21357.2
2022-10-02,21357.2
2022-10-03,21429.5
2022-10-04,21429.5
2022-10-05,21429.5
2022-10-06,21429.5
2022-10-07,21429.5
2022-10-08,21429.5
2022-10-09,21429.5
2022-10-10,21398.9
2022-10-11,21398.9
2022-10-12,21398.9
2022-10-13,21398.9
2022-10-14,21398.9
2022-10-15,21398.9
2022-10-16,21398.9
2022-10-17,21431.5
2022-10-18,21431.5
2022-10-19,21431.5
2022-10-20,21431.5
2022-10-21,21431.5
2022-10-22,21431.5
2022-10-23,21431.5
2022-10-24,21290.3
2022-10-25,21290.3
2022-10-26,21290.3
2022-10-27,21290.3
2022-10-28,21290.3
2022-10-29,21290.3
2022-10-30,21290.3
2022-10-31,21342.2
2022-11-01,21342.2
2022-11-02,21342.2
2022-11-03,21342.2
2022-11-04,21342.2
2022-11-05,21342.2
2022-11-06,21342.2
2022-11-07,21377.8
2022-11-08,21377.8
2022-11-09,21377.8
2022-11-10,21377.8
2022-11-11,21377.8
2022-11-12,21377.8
2022-11-13,21377.8
2022-11-14,21377.4
2022-11-15,21377.4
2022-11-16,21377.4
2022-11-17,21377.4
2022-11-18,21377.4
2022-11-19,21377.4
2022-11-20,21377.4
2022-11-21,21381.5
2022-11-22,21381.5
2022-11-23,21381.5
2022-11-24,21381.5
2022-11-25,21381.5
2022-11-26,21381.5
2022-11-27,21381.5
2022-11-28,21341.8
2022-11-29,21341.8
2022-11-30,21341.8
2022-12-01,21341.8
2022-12-02,21341.8
2022-12-03,21341.8
2022-12-04,21341.8
2022-12-05,21409.4
2022-12-06,21409.4
2022-12-07,21409.4
2022-12-08,21409.4
2022-12-09,21409.4
2022-12-10,21409.4
2022-12-11,21409.4
2022-12-12,21407.5
2022-12-13,21407.5
2022-12-14,21407.5
2022-12-15,21407.5
2022-12-16,21407.5
2022-12-17,21407.5
2022-12-18,21407.5
2022-12-19,21420
2022-12-20,21420
2022-12-21,21420
2022-12-22,21420
2022-12-23,21420
2022-12-24,21420
2022-12-25,21420
2022-12-26,21394.8
2022-12-27,21394.8
2022-12-28,21394.8
2022-12-29,21394.8
2022-12-30,21394.8
2022-12-31,21394.8
2023-01-01,21394.8
2023-01-02,21364.4
2023-01-03,21364.4
2023-01-04,21364.4
2023-01-05,21364.4
2023-01-06,21364.4
2023-01-07,21364.4
2023-01-08,21364.4
2023-01-09,21416.5
2023-01-10,21416.5
2023-01-11,21416.5
2023-01-12,21416.5
2023-01-13,21416.5
2023-01-14,21416.5
2023-01-15,21416.5
2023-01-16,21327.7
2023-01-17,21327.7
2023-01-18,21327.7
2023-01-19,21327.7
2023-01-20,21327.7
2023-01-21,21327.7
2023-01-22,21327.7
2023-01-23,21182.5
2023-01-24,21182.5
2023-01-25,21182.5
2023-01-26,21182.5
2023-01-27,21182.5
2023-01-28,21182.5
2023-01-29,21182.5
2023-01-30,21092
2023-01-31,21092
2023-02-01,21092
2023-02-02,21092
2023-02-03,21092
2023-02-04,21092
2023-02-05,21092
2023-02-06,21163.3
2023-02-07,21163.3
2023-02-08,21163.3
2023-02-09,21163.3
2023-02-10,21163.3
2023-02-11,21163.3
2023-02-12,21163.3
2023-02-13,21097.4
2023-02-14,21097.4
2023-02-15,21097.4
2023-02-16,21097.4
2023-02-17,21097.4
2023-02-18,21097.4
2023-02-19,21097.4
2023-02-20,21088.8
2023-02-21,21088.8
2023-02-22,21088.8
2023-02-23,21088.8
2023-02-24,21088.8
2023-02-25,21088.8
2023-02-26,21088.8
2023-02-27,21086.2
2023-02-28,21086.2
2023-03-01,21086.2
2023-03-02,21086.2
2023-03-03,21086.2
2023-03-04,21086.2
2023-03-05,21086.2
2023-03-06,21133.9
2023-03-07,21133.9
2023-03-08,21133.9
2023-03-09,21133.9
2023-03-10,21133.9
2023-03-11,21133.9
2023-03-12,21133.9
2023-03-13,21130.3
2023-03-14,21130.3
2023-03-15,21130.3
2023-03-16,21130.3
2023-03-17,21130.3
2023-03-18,21130.3
2023-03-19,21130.3
2023-03-20,20992.8
2023-03-21,20992.8
2023-03-22,20992.8
2023-03-23,20992.8
2023-03-24,20992.8
2023-03-25,20992.8
2023-03-26,20992.8
2023-03-27,20866.8
2023-03-28,20866.8
2023-03-29,20866.8
2023-03-30,20866.8
2023-03-31,20866.8
2023-04-01,20866.8
2023-04-02,20866.8
