Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,"15,752.27","15,816.82","15,243.93","15,254.05","15,254.05","6,320,260,000"
2021-12-02,"15,181.82","15,444.54","15,150.12","15,381.32","15,381.32","5,418,340,000"
2021-12-03,"15,428.71","15,470.36","14,931.06","15,085.47","15,085.47","5,900,290,000"
2021-12-06,"15,117.63","15,281.99","14,931.61","15,225.15","15,225.15","5,115,230,000"
2021-12-07,"15,510.91","15,720.09","15,507.66","15,686.92","15,686.92","5,116,490,000"
2021-12-08,"15,690.65","15,792.64","15,618.88","15,786.99","15,786.99","4,615,390,000"
2021-12-09,"15,720.54","15,796.05","15,511.12","15,517.37","15,517.37","4,515,600,000"
2021-12-10,"15,629.59","15,677.60","15,477.85","15,630.60","15,630.60","4,426,210,000"
2021-12-13,"15,621.27","15,637.06","15,408.25","15,413.28","15,413.28","4,573,920,000"
2021-12-14,"15,215.96","15,317.55","15,097.35","15,237.64","15,237.64","4,865,990,000"
2021-12-15,"15,230.71","15,575.76","15,055.23","15,565.58","15,565.58","5,343,920,000"
2021-12-16,"15,629.08","15,633.19","15,119.49","15,180.43","15,180.43","4,906,480,000"
2021-12-17,"15,036.77","15,288.78","14,960.37","15,169.68","15,169.68","7,668,770,000"
2021-12-20,"14,933.00","15,007.30","14,860.04","14,980.94","14,980.94","4,602,640,000"
2021-12-21,"15,140.43","15,349.06","15,015.03","15,341.09","15,341.09","4,581,720,000"
2021-12-22,"15,319.16","15,525.97","15,303.06","15,521.89","15,521.89","4,107,900,000"
2021-12-23,"15,544.79","15,697.98","15,528.91","15,653.37","15,653.37","3,935,010,000"
2021-12-27,"15,696.83","15,871.40","15,696.83","15,871.26","15,871.26","3,743,920,000"
2021-12-28,"15,895.20","15,901.47","15,757.07","15,781.72","15,781.72","3,648,500,000"
2021-12-29,"15,794.92","15,821.81","15,679.85","15,766.22","15,766.22","3,714,380,000"
2021-12-30,"15,758.98","15,868.09","15,729.16","15,741.56","15,741.56","3,750,920,000"
2021-12-31,"15,722.91","15,777.43","15,643.94","15,644.97","15,644.97","3,392,580,000"
2022-01-03,"15,732.50","15,832.80","15,644.09","15,832.80","15,832.80","4,429,960,000"
2022-01-04,"15,852.14","15,852.14","15,512.41","15,622.72","15,622.72","5,131,110,000"
2022-01-05,"15,547.16","15,586.30","15,095.18","15,100.17","15,100.17","5,031,850,000"
2022-01-06,"15,024.15","15,198.45","14,914.87","15,080.86","15,080.86","4,790,820,000"
2022-01-07,"15,095.72","15,171.02","14,877.63","14,935.90","14,935.90","4,238,070,000"
2022-01-10,"14,751.78","14,953.85","14,530.23","14,942.83","14,942.83","5,317,180,000"
2022-01-11,"14,919.26","15,158.71","14,837.63","15,153.45","15,153.45","4,390,710,000"
2022-01-12,"15,263.10","15,319.03","15,117.29","15,188.39","15,188.39","4,338,530,000"
2022-01-13,"15,245.04","15,259.71","14,782.24","14,806.81","14,806.81","4,302,020,000"
2022-01-14,"14,708.02","14,897.68","14,689.43","14,893.75","14,893.75","4,374,020,000"
2022-01-18,"14,681.83","14,740.54","14,482.94","14,506.90","14,506.90","5,060,790,000"
2022-01-19,"14,582.22","14,658.89","14,331.65","14,340.26","14,340.26","4,665,340,000"
2022-01-20,"14,462.85","14,642.03","14,140.78","14,154.02","14,154.02","5,102,050,000"
2022-01-21,"14,046.22","14,171.72","13,764.24","13,768.92","13,768.92","5,870,830,000"
2022-01-24,"13,481.50","13,876.61","13,094.65","13,855.13","13,855.13","6,998,770,000"
2022-01-25,"13,610.87","13,781.62","13,414.14","13,539.29","13,539.29","5,019,380,000"
2022-01-26,"13,871.77","14,002.65","13,392.19","13,542.12","13,542.12","5,771,140,000"
2022-01-27,"13,710.99","13,765.91","13,322.66","13,352.78","13,352.78","5,177,380,000"
2022-01-28,"13,436.71","13,771.91","13,236.56","13,770.57","13,770.57","4,971,930,000"
2022-01-31,"13,812.19","14,242.90","13,767.71","14,239.88","14,239.88","5,124,940,000"
2022-02-01,"14,277.43","14,358.69","14,070.77","14,346.00","14,346.00","4,671,850,000"
2022-02-02,"14,494.47","14,504.82","14,264.65","14,417.55","14,417.55","4,673,140,000"
2022-02-03,"14,045.83","14,207.89","13,851.74","13,878.82","13,878.82","4,326,300,000"
2022-02-04,"13,958.48","14,222.76","13,850.39","14,098.01","14,098.01","4,121,340,000"
2022-02-07,"14,118.79","14,236.31","13,974.10","14,015.67","14,015.67","4,268,730,000"
2022-02-08,"13,984.43","14,226.48","13,934.78","14,194.45","14,194.45","4,293,770,000"
2022-02-09,"14,368.16","14,490.72","14,330.87","14,490.37","14,490.37","4,729,730,000"
2022-02-10,"14,228.68","14,509.56","14,118.20","14,185.64","14,185.64","5,212,510,000"
2022-02-11,"14,213.62","14,246.70","13,733.16","13,791.15","13,791.15","5,237,320,000"
2022-02-14,"13,768.97","13,921.71","13,664.76","13,790.92","13,790.92","4,347,350,000"
2022-02-15,"13,997.18","14,142.49","13,976.29","14,139.76","14,139.76","4,416,840,000"
2022-02-16,"14,038.92","14,163.73","13,931.99","14,124.09","14,124.09","4,238,560,000"
2022-02-17,"14,004.19","14,020.82","13,704.70","13,716.72","13,716.72","4,278,370,000"
2022-02-18,"13,735.40","13,762.40","13,465.56","13,548.07","13,548.07","4,501,940,000"
2022-02-22,"13,424.36","13,618.72","13,249.65","13,381.52","13,381.52","4,849,170,000"
2022-02-23,"13,511.75","13,533.78","13,032.17","13,037.49","13,037.49","4,639,330,000"
2022-02-24,"12,587.88","13,486.11","12,587.88","13,473.59","13,473.59","6,180,200,000"
2022-02-25,"13,485.26","13,696.86","13,358.29","13,694.62","13,694.62","4,628,720,000"
2022-02-28,"13,570.83","13,810.64","13,549.90","13,751.40","13,751.40","5,928,130,000"
2022-03-01,"13,716.70","13,777.04","13,441.32","13,532.46","13,532.46","6,131,350,000"
2022-03-02,"13,597.53","13,796.55","13,493.91","13,752.02","13,752.02","5,246,390,000"
2022-03-03,"13,837.59","13,837.59","13,472.64","13,537.94","13,537.94","5,092,580,000"
2022-03-04,"13,455.23","13,486.71","13,224.98","13,313.44","13,313.44","5,343,900,000"
2022-03-07,"13,328.36","13,353.28","12,828.02","12,830.96","12,830.96","6,195,370,000"
2022-03-08,"12,800.04","13,159.44","12,670.08","12,795.55","12,795.55","6,683,960,000"
2022-03-09,"13,113.70","13,301.16","13,039.79","13,255.55","13,255.55","5,396,550,000"
2022-03-10,"13,098.35","13,163.50","12,946.28","13,129.96","13,129.96","5,071,250,000"
2022-03-11,"13,229.77","13,239.35","12,830.37","12,843.81","12,843.81","5,288,210,000"
2022-03-14,"12,795.12","12,918.01","12,555.35","12,581.22","12,581.22","5,876,710,000"
2022-03-15,"12,685.23","12,973.88","12,616.59","12,948.62","12,948.62","5,440,100,000"
2022-03-16,"13,119.37","13,440.12","12,992.20","13,436.55","13,436.55","6,552,210,000"
2022-03-17,"13,360.72","13,620.80","13,317.14","13,614.78","13,614.78","5,612,090,000"
2022-03-18,"13,564.63","13,899.28","13,528.06","13,893.84","13,893.84","8,149,290,000"
2022-03-21,"13,860.39","13,945.81","13,682.55","13,838.46","13,838.46","5,673,940,000"
2022-03-22,"13,866.43","14,141.07","13,857.29","14,108.82","14,108.82","5,445,100,000"
2022-03-23,"13,990.35","14,152.14","13,921.65","13,922.60","13,922.60","5,024,230,000"
2022-03-24,"14,001.32","14,193.55","13,897.20","14,191.84","14,191.84","5,149,520,000"
2022-03-25,"14,194.72","14,218.76","14,010.79","14,169.30","14,169.30","5,585,100,000"
2022-03-28,"14,177.21","14,356.00","14,101.34","14,354.90","14,354.90","5,129,500,000"
2022-03-29,"14,500.39","14,646.90","14,419.40","14,619.64","14,619.64","6,060,890,000"
2022-03-30,"14,558.59","14,609.25","14,383.45","14,442.27","14,442.27","5,479,200,000"
2022-03-31,"14,444.78","14,456.74","14,217.72","14,220.52","14,220.52","5,453,890,000"
2022-04-01,"14,269.53","14,306.94","14,131.81","14,261.50","14,261.50","5,002,790,000"
2022-04-04,"14,304.35","14,534.38","14,286.45","14,532.55","14,532.55","4,630,100,000"
2022-04-05,"14,490.26","14,500.29","14,169.12","14,204.17","14,204.17","4,727,710,000"
2022-04-06,"14,002.58","14,032.84","13,788.90","13,888.82","13,888.82","5,360,420,000"
2022-04-07,"13,861.49","13,978.25","13,689.23","13,897.30","13,897.30","4,856,090,000"
2022-04-08,"13,830.47","13,866.06","13,693.69","13,711.00","13,711.00","4,574,080,000"
