time,USD
2021/9/6,"1,821.60"
2021/9/7,"1,802.20"
2021/9/8,"1,786.00"
2021/9/9,"1,788.30"
2021/9/10,"1,794.60"
2021/9/13,"1,793.90"
2021/9/14,"1,792.80"
2021/9/15,"1,797.00"
2021/9/16,"1,748.00"
2021/9/17,"1,756.00"
2021/9/20,"1,757.80"
2021/9/21,"1,774.50"
2021/9/22,"1,773.40"
2021/9/23,"1,750.00"
2021/9/24,"1,746.80"
2021/9/27,"1,755.30"
2021/9/28,"1,733.80"
2021/9/29,"1,737.20"
2021/9/30,"1,742.80"
2021/10/1,"1,757.10"
2021/10/4,"1,754.60"
2021/10/5,"1,753.20"
2021/10/6,"1,759.70"
2021/10/7,"1,762.10"
2021/10/8,"1,773.30"
2021/10/11,"1,757.70"
2021/10/12,"1,767.80"
2021/10/13,"1,785.70"
2021/10/14,"1,798.70"
2021/10/15,"1,772.70"
2021/10/18,"1,767.90"
2021/10/19,"1,779.60"
2021/10/20,"1,778.00"
2021/10/21,"1,779.30"
2021/10/22,"1,808.30"
2021/10/25,"1,805.30"
2021/10/26,"1,785.60"
2021/10/27,"1,795.30"
2021/10/28,"1,803.50"
2021/10/29,"1,769.20"
2021/11/1,"1,793.80"
2021/11/2,"1,790.50"
2021/11/3,"1,763.50"
2021/11/4,"1,796.20"
2021/11/5,"1,801.90"
2021/11/8,"1,822.40"
2021/11/9,"1,827.30"
2021/11/10,"1,859.40"
2021/11/11,"1,857.90"
2021/11/12,"1,860.60"
2021/11/15,"1,859.90"
2021/11/16,"1,859.20"
2021/11/17,"1,864.90"
2021/11/18,"1,860.30"
2021/11/19,"1,861.10"
2021/11/22,"1,816.10"
2021/11/23,"1,789.20"
2021/11/24,"1,782.10"
2021/11/25,"1,788.20"
2021/11/26,"1,800.80"
2021/11/29,"1,786.00"
2021/11/30,"1,804.40"
2021/12/1,"1,789.30"
2021/12/2,"1,765.00"
2021/12/3,"1,767.60"
2021/12/6,"1,778.70"
2021/12/7,"1,781.40"
2021/12/8,"1,783.80"
2021/12/9,"1,776.20"
2021/12/10,"1,779.80"
2021/12/13,"1,787.80"
2021/12/14,"1,776.90"
2021/12/15,"1,768.70"
2021/12/16,"1,795.70"
2021/12/17,"1,807.70"
2021/12/20,"1,796.30"
2021/12/21,"1,793.80"
2021/12/22,"1,792.80"
2021/12/23,"1,805.20"
2021/12/24,"1,805.20"
2021/12/27,"1,805.20"
2021/12/28,"1,805.20"
2021/12/29,"1,794.30"
2021/12/30,"1,805.90"
2021/12/31,"1,805.90"
2022/1/3,"1,805.90"
2022/1/4,"1,811.40"
2022/1/5,"1,826.30"
2022/1/6,"1,789.40"
2022/1/7,"1,792.60"
2022/1/10,"1,794.20"
2022/1/11,"1,806.80"
2022/1/12,"1,821.40"
2022/1/13,"1,820.40"
2022/1/14,"1,823.00"
2022/1/17,"1,817.90"
2022/1/18,"1,817.30"
2022/1/19,"1,827.00"
2022/1/20,"1,845.40"
2022/1/21,"1,837.60"
2022/1/24,"1,831.60"
2022/1/25,"1,847.30"
2022/1/26,"1,836.00"
2022/1/27,"1,806.80"
2022/1/28,"1,788.20"
2022/1/31,"1,795.30"
2022/2/1,"1,799.90"
2022/2/2,"1,803.70"
2022/2/3,"1,792.70"
2022/2/4,"1,804.70"
2022/2/7,"1,813.60"
2022/2/8,"1,822.60"
2022/2/9,"1,827.80"
2022/2/10,"1,835.40"
2022/2/11,"1,831.20"
2022/2/14,"1,866.20"
2022/2/15,"1,848.60"
2022/2/16,"1,862.60"
2022/2/17,"1,893.50"
2022/2/18,"1,893.60"
2022/2/21,"1,894.50"
2022/2/22,"1,900.10"
2022/2/23,"1,904.70"
2022/2/24,"1,936.30"
2022/2/25,"1,884.80"
2022/2/28,"1,909.90"
2022/3/1,"1,922.00"
